question,option_A,option_B,option_C,option_D,answer,topic
"An increase in temperature causes an increase in the pressure of a gas in a fixed volume due to an increase in the","number of molecules of the gas","density of the gas molecules","number of collisions between the gas molecules","number of collisions between the gas molecules and the walls of the container","D","Kinetic Theory of Gases"
"At 25 degrees C and 1 atm, a gas occupies a volume of 1.50dm3. What volume will it occupy at 100 degrees C at 1 atm?","1.88dm3","6.00dm3","18.80dm3","60.00dm3","A","Kinetic Theory of Gases"
"A gaseous mixture of 80.0g of oxygen and 56.0g of nitrogen has a total pressure of 1.8 atm. The partial pressure of oxygen in the mixture is [O=16, N=14]","0.8 atm","1.0 atm","1.2 atm","1.4 atm","A","Kinetic Theory of Gases"
"To what temperature must a gas at 273K be heated in order to double both its volume and pressure?","298K","546K","819K","1092K","C","Kinetic Theory of Gases"
"The densities of two gases, X and Y are 0.5gdm-3 and 2.0gdm-3 respectively. What is the rate of diffusion of X relative to Y?","0.1","0.5","2.0","4.0","C","Kinetic Theory of Gases"
"What volume of oxygen will remain after reacting 6cm3 of hydrogen with 20cm3 of oxygen?","10cm3","12cm3","16cm3","17cm3","D","Kinetic Theory of Gases"
"A gas sample with initial volume of 3.25dm3 is heated and allowed to expand to 9.75dm3 at constant pressure. What is the ratio of the final absolute temperature to the initial absolute temperature?","3:1","5:2","5:4","8:3","A","Kinetic Theory of Gases"
"A liquid begins to boil when","its vapour pressure is equal to the vapour pressure of its solid at the given temperature","molecules start escaping from its surface","its vapour pressure equals the atmospheric pressure","its volume is slightly increased","C","Kinetic Theory of Gases"
"If d represents the density of a gas and k is a constant, the rate of gaseous diffusion r is related to d by the equation","r = k/d B","r = kd","r = k divided by square root of d","r = k times d","C","Kinetic Theory of Gases"
"One mole of propane is mixed with five moles of oxygen. The mixture is ignited and the propane burns completely. What is the volume of the products at s.t.p? [G.M.V = 22.4dm3/mol]","112.0dm3","67.2dm3","56.0dm3","44.8dm3","B","Kinetic Theory of Gases"
"0.9dm3 of a gas at s.t.p was subjected by means of a movable piston to two times the original pressure with the temperature being now kept at 364K. What is the volume of the gas in dm3 at this pressure?","2.0","4.5","6.0","8.36","A","Kinetic Theory of Gases"
"An increase in temperature causes an increase in the pressure of a gas because there is an increase in the","average velocity of the molecules","number of collisions between the molecules","density of the molecules","free mean path between each molecule and the others","A","Kinetic Theory of Gases"
"The molar ratio of carbon to hydrogen of a volatile liquid compound is 1:2. 0.12g of the liquid on evaporation at s.t.p gave 32cm3 of vapour. The molecular formula of the liquid is [G.M.V = 22.4dm3, C=12, H=1]","C2H4","C4H8","C4H10","C6H12","A","Kinetic Theory of Gases"
"The minimum volume of oxygen required for the complete combustion of a mixture of 10cm3 of CO and 15cm3 of H2 is","25.0cm3","12.5cm3","10.0cm3","5.0cm3","B","Kinetic Theory of Gases"
"60cm3 of Hydrogen are sparked with 20cm3 of Oxygen at 100 degrees C and 1 atmosphere. The total volume of the residual gases is","60cm3","10cm3","40cm3","30cm3","D","Kinetic Theory of Gases"
"If the rate of diffusion of oxygen gas is taken as 1, what will be the rate of diffusion of methane whose relative molar mass is 16?","2.0","1.4","1.0","0.5","B","Kinetic Theory of Gases"
"100cm3 of oxygen are made to react with 50cm3 of Hydrogen and the whole reaction mixture was then passed through anhydrous calcium chloride. What is the volume of the gas left?","5cm3","250cm3","50cm3","75cm3","D","Kinetic Theory of Gases"
"The relationship between the volume (V), the pressure (P) and the temperature (T) which represents ideal gas behaviour is","P proportional to VT","P proportional to T/V","PT proportional to V","PV proportional to 1/T","B","Kinetic Theory of Gases"
"Naphthalene when heated melts at 354K (81 degrees C). At this temperature the molecules of naphthalene","decompose into smaller molecules","change phase, some are oxidized by atmospheric oxygen","contract","become mobile as the intermolecular forces are broken","D","Kinetic Theory of Gases"
"Hydrogen diffuses through a porous plug","at the same rate as oxygen","at a slower rate than oxygen","twice as fast as oxygen","four times as fast as oxygen","D","Kinetic Theory of Gases"
"A certain volume of a gas at 298K is heated such that its volume and pressure are now four times the original values. What is the new temperature?","298.0K","1192.0K","47689.0K","372.5K","B","Kinetic Theory of Gases"
"The boiling points of water, ethanol, toluene and butan-2-ol are 373.0K, 351.3K, 383.6K and 372.5K respectively. Which liquid has the highest vapour pressure at 323.0K?","Water","Toluene","Ethanol","Butan-2-ol","C","Kinetic Theory of Gases"
"30cm3 of hydrogen fluoride gas reacts with 5cm3 of Dinitrogen difluoride gas (N2F2) to form 10cm3 of a single gas. Which of the following is the most likely equation for the reaction?","HF + N2F2 gives N2HF","2HF + N2F2 gives N2H2F4","2HF + N2F2 gives N2HF3","3HF + 2N2F2 gives N2HF3","C","Kinetic Theory of Gases"
"How long will 80cm3 of methane (CH4) take to diffuse through the same porous plug under the same conditions as 20 seconds for oxygen? [C=12, O=16, H=1]","20 sec","20 sec","14 sec","7 sec","C","Kinetic Theory of Gases"
"If the quantity of oxygen occupying a 2.76 litres container at a pressure of 0.825 atmospheres and 300K is reduced by one-half, what is the pressure exerted by the remaining gas?","1.650 atm","0.825 atm","0.413 atm","0.275 atm","C","Kinetic Theory of Gases"
"Which of the following substances has the lowest vapour pressure?","Ethanoic acid","Propanol","Dichloromethane","Ethanol","A","Kinetic Theory of Gases"
"Two cylinders A and B each contain 300cm3 of oxygen and nitrogen respectively at the same temperature and pressure. If there are 5.0 moles of nitrogen, then the mass of oxygen is","3.2g","6.4g","80.0g","160.0g","D","Kinetic Theory of Gases"
"What is the fundamental difference between the three states of matter?","the degree of movement of their particles","the number of particles in each state","the shape of the container they occupy","the shape of their particles","A","Kinetic Theory of Gases"
"50cm3 of carbon (II) oxide was exploded with 150cm3 of air containing 20% oxygen by volume. Which of the reactants was in excess?","Carbon (II) oxide","Oxygen","Carbon (IV) oxide","Nitrogen","B","Kinetic Theory of Gases"
"The ratio of the initial to the final pressure of a given mass of gas is 1:1.5. Calculate the final volume of the gas if the initial volume was 300cm3 at the same temperature.","750cm3","450cm3","200cm3","120cm3","D","Kinetic Theory of Gases"
"The partial pressure of oxygen in a sample of air is 452mmHg and the total pressure is 760mmHg. What is the mole fraction of oxygen?","0.203","0.579","2.030","5.790","B","Kinetic Theory of Gases"
"Which of the following gases can be collected by the method of downward delivery?","Chlorine","Oxygen","Ammonia","Hydrogen","A","Kinetic Theory of Gases"
"The pressure of 100cm3 of oxygen at 35 degrees C is 750mmHg. What will be the volume of the gas if the pressure is reduced to 100mmHg without changing the temperature?","850cm3","750cm3","650cm3","580cm3","B","Kinetic Theory of Gases"
"The density of a certain gas is 1.98gdm-3 at S.T.P. What is the molecular mass of the gas? [Molar volume of a gas at s.t.p = 22.4dm3]","26.0g","31.0g","54.0g","44.0g","D","Kinetic Theory of Gases"
"Which of these properties gives a solid its definite shape?","Weak intermolecular attraction","High boiling point","Strong intermolecular attraction","High mass of the molecules","C","Kinetic Theory of Gases"
"The volume of 2.5 moles of Oxygen at S.T.P is","56.0dm3","84.0dm3","50.0dm3","20.0dm3","A","Kinetic Theory of Gases"
"If 30cm3 of a gas at 50 degrees C is warmed to 80 degrees C at a fixed pressure, the fractional increase in volume is","0.910","0.009","1.050","0.093","D","Kinetic Theory of Gases"
"What is the volume of oxygen required to burn completely 45cm3 of methane at S.T.P?","45.0cm3","90.0cm3","135.0cm3","180.0cm3","B","Kinetic Theory of Gases"
"Which of the following decreases when a given mass of a gas is compressed to half its initial volume?","average intermolecular distance","frequency of molecular collision","number of molecules present","atomic radius of each particle","A","Kinetic Theory of Gases"
"Calculate the mass of chlorine gas which occupies a volume of 1.12dm3 at s.t.p. [Cl = 35.5, Molar volume of a gas at s.t.p = 22.4dm3]","1.80g","3.55g","7.10g","15.50g","B","Kinetic Theory of Gases"
"300cm3 of a gas has a pressure of 800mmHg. If the pressure is reduced to 650mmHg, find its volume.","243.75cm3","369cm3","738.46cm3","1733.36cm3","A","Kinetic Theory of Gases"
"Diffusion is slowest in solid particles than in particles of liquids and gases because","solid particles have more kinetic energy than the particles of liquids and gases","solid particles have less kinetic energy than the particles of liquid and gases","solid particles have less restriction in their movement than liquids and gas particles","the particles in solids are far apart and the cohesive forces between them are negligible","B","Kinetic Theory of Gases"
"A gas exerts pressure on its container because","the molecules of a gas collide with the walls of the container","some of the molecules are moving faster than others","of the collisions of the molecules with each other","of the molecules of the gas","A","Kinetic Theory of Gases"
"According to Charles law, the volume of a gas becomes zero at","0 degrees C","-100 degrees C","-273 degrees C","-373 degrees C","C","Kinetic Theory of Gases"
"It is difficult to achieve an orderly arrangement of the molecules of a gas because they","have no definite shape","have little force of attraction between them","can collide with one another in the container","are too small in size","B","Kinetic Theory of Gases"
"A given volume of methane diffuses in 20s. How long will it take same volume of sulphur (VI) oxide to diffuse under the same conditions? [C=12, H=1, S=32, O=16]","5s","20s","40s","60s","D","Kinetic Theory of Gases"
"According to the kinetic theory, an increase in temperature causes the kinetic energy of particles to","decrease","increase","remain constant","be zero","B","Kinetic Theory of Gases"
"A gas X diffuses twice as fast as gas Y under the same conditions. If the relative molecular mass of X is 28, calculate the relative molecular mass of Y.","120","14","56","112","D","Kinetic Theory of Gases"
"A fixed mass of gas has a volume of 192cm3 at 3 degrees C. What will be its volume at 18 degrees C if the pressure remains constant?","652cm3","97.3cm3","87.3cm3","202cm3","D","Kinetic Theory of Gases"
"Which of the following gases can be collected by the upward displacement of air?","NO","HCN","NH3","Cl2","C","Kinetic Theory of Gases"
"20cm3 of hydrogen gas are sparked with 20cm3 of oxygen gas at 373K and 1 atmosphere. The resulting mixture is cooled to 298K and passed over calcium chloride. The volume of the residual gas is","40cm3","20cm3","30cm3","10cm3","D","Kinetic Theory of Gases"
"Increasing the pressure of a gas","lowers the average kinetic energy of the molecules","decreases the density of the gas","decreases the temperature of the gas","increases the density of the gas","D","Kinetic Theory of Gases"
"The movement of liquid molecules from the surface of the liquid to the gaseous phase above it is known as","Brownian movement","Condensation","Evaporation","Liquefaction","C","Kinetic Theory of Gases"
"35cm3 of hydrogen was sparked with 12cm3 of oxygen at 110 degrees C and 760mmHg. What percentage of the total volume of gases left after the reaction is hydrogen?","11%","31%","35%","65%","B","Kinetic Theory of Gases"
"25cm3 of a gas X contains Z molecules at 15 degrees C and 75mmHg. How many molecules will 25cm3 of another gas Y contain at the same temperature and pressure?","2Y","2Z","Z","Y","C","Kinetic Theory of Gases"
"An oxide XO has a vapour density of 32. What is the mass of X?","32","14","12","48","A","Kinetic Theory of Gases"
"If 100cm3 of oxygen pass through a porous plug in 46 seconds, the time taken for the same volume of hydrogen to pass through the same porous plug is [O=16, H=1]","10.0s","8.0s","12.5s","32.0s","B","Kinetic Theory of Gases"
"A mixture of 0.20 mole of Ar, 0.20 mole of N2 and 0.30 mole of He exerts a total pressure of 2.1 atm. The partial pressure of Ar in the mixture is","0.90 atm","0.80 atm","0.70 atm","0.60 atm","C","Kinetic Theory of Gases"
"The temperature of a body decreases when drops of liquid placed on it evaporate because","the atmospheric vapour pressure has a cooling effect on the body","a temperature gradient exists between the evaporating liquid and the body","the heat of vaporization is drawn from the body causing it to cool","the random motion of the liquid molecules causes a cooling effect on the body","C","Kinetic Theory of Gases"
"For a gas, the relative molecular mass is equal to 2Y. What is Y?","The mass of the gas","The relative molecular mass of the gas","The volume of the gas","The temperature of the gas","A","Kinetic Theory of Gases"
"An organic compound with a vapour density 56.5 has the following percentage composition: C=53.1%, N=12.4%, O=28.3%, H=6.2%. The molecular formula of the compound is","C2H4ClO2N","C3H5O3N","C4(H2O)2N","C4H2ON","B","Kinetic Theory of Gases"
"If sulphur (IV) oxide and methane are released simultaneously at the opposite ends of a narrow tube, the rates of diffusion of SO2 and CH4 will be in ratio [S=32, O=16, C=12, H=1]","4:1","2:1","1:2","1:4","C","Kinetic Theory of Gases"
"A solid begins to melt when","constituent particles acquire a greater kinetic energy","energy of vibration of particles of the solid is less than the intermolecular forces","constituent particles acquire energy above the average kinetic energy","energy of vibration of particles of the solid equals the intermolecular forces","D","Kinetic Theory of Gases"
"Which of the following gases will diffuse fastest when passed through a porous plug?","Propane","Oxygen","Methane","Ammonia","D","Kinetic Theory of Gases"
"What is the temperature of a given mass of gas initially at 0 degrees C and 9atm, if the pressure is reduced to 3atm at constant volume?","91K","182K","273K","819K","A","Kinetic Theory of Gases"
"56.0cm3 of a gas at S.T.P weighed 0.11g. What is the vapour density of the gas? [Molar volume of a gas at s.t.p = 22.4dm3]","11.00","22.00","33.00","44.00","D","Kinetic Theory of Gases"
"In which of the following are water molecules in the most disorderly arrangement?","Ice at -10 degrees C","Ice at 0 degrees C","Water at 100 degrees C","Steam at 110 degrees C","D","Kinetic Theory of Gases"
